report,line,inpth,tag,label,formatted_value,ddate,qtrs
5,8,0,SharesIssued,"Balance, shares","60,647,380",20241130,0
5,9,0,StockholdersEquity,"Balance, amount","(410,626)",20241130,0
5,10,0,NetIncomeLoss,Net loss,"(11,927)",20241130,1
5,11,0,SharesIssued,"Balance, shares","60,647,380",20241130,0
5,12,0,StockholdersEquity,"Balance, amount","(410,626)",20241130,0
